t_index	term	df
10852	seventeen	16
10853	seventerm	2
10854	seventh	30
10855	seventhseed	1
10856	seventi	1
10857	sevenway	1
10858	sevenweek	4
10859	sevenyear	3
10860	sevenyearlong	1
10861	sevenyearold	1
10862	sever	248
10863	severin	1
10864	severodvinsk	1
10865	severomorsk	4
10866	sew	1
10867	sewag	4
10868	sewart	1
10869	sex	8
10870	sexual	15
10871	seymour	1
10872	sgt	5
10873	shaar	2
10874	shab	2
10875	shabtai	1
10876	shack	7
10877	shade	2
10878	shadow	17
10879	shadowi	8
10880	shaeffer	1
10881	shaft	3
10882	shah	4
10883	shaheen	1
10884	shaher	1
10885	shailesh	1
10886	shajea	1
10887	shake	28
10888	shaken	11
10889	shaki	2
10890	shalikashvili	1
10891	shall	3
10892	shallow	3
10893	shallowwat	1
10894	sham	2
10895	shambl	3
10896	shame	6
10897	shamshran	1
10898	shane	1
10899	shannon	1
10900	shantytown	5
10901	shape	27
10902	shapeless	1
10903	shapeup	1
10904	shapiro	1
10905	shard	3
10906	share	39
10907	shargel	1
10908	sharm	3
10909	sharon	2
10910	sharp	13
10911	sharpen	2
10912	sharper	1
10913	sharpli	14
10914	shatter	33
10915	shaughnessi	3
10916	shave	1
10917	shavit	1
10918	shaw	3
10919	shawn	3
10920	shea	1
10921	sheaf	1
10922	shear	2
10923	sheath	1
10924	shebeck	1
10925	shebek	1
10926	shed	10
10927	sheehan	2
10928	sheehen	1
10929	sheepish	1
10930	sheepishli	1
10931	sheer	3
10932	sheet	22
10933	sheik	5
10934	sheikh	2
10935	sheila	1
10936	shelf	3
10937	shell	13
10938	shelle	4
10939	shelli	1
10940	shelten	1
10941	shelter	22
10942	shelti	1
10943	shelton	6
10944	shelv	2
10945	shemter	1
10946	shephard	1
10947	shepherd	4
10948	sheriff	14
10949	sherman	1
10950	sherri	3
10951	sheryl	1
10952	shi	5
10953	shiela	1
10954	shield	8
10955	shift	20
10956	shiit	3
10957	shine	10
10958	shini	2
10959	ship	193
10960	shipboard	1
10961	shipbuild	6
10962	shipman	1
10963	shipmat	13
10964	shipment	1
10965	shipyard	8
10966	shirley	1
10967	shirt	12
10968	shirtless	2
10969	shiver	1
10970	shkval	7
10971	shlomo	1
10972	shock	43
10973	shoddi	1
10974	shoddili	1
10975	shoe	15
10976	shoeed	1
10977	shoeleath	2
10978	sholti	1
10979	shook	46
10980	shoot	20
10981	shootout	4
10982	shop	53
10983	shopkeep	2
10984	shoplift	2
10985	shopper	1
10986	shore	18
10987	shorelin	1
10988	short	92
10989	shortag	16
10990	shortchang	2
10991	shortcom	4
10992	shortcut	1
10993	shorter	3
10994	shortest	1
10995	shortfal	2
10996	shorthand	2
10997	shortli	47
10998	shortliv	4
10999	shortsleev	1
11000	shortstaf	1
11001	shortterm	3
11002	shot	76
11003	shotgun	18
11004	shotmak	1
11005	shoulder	16
11006	shouldnt	13
11007	shouldv	1
11008	shout	29
11009	shove	5
11010	shovel	12
11011	show	187
11012	showcas	2
11013	showdown	12
11014	shower	7
11015	shown	20
11016	shrank	4
11017	shrapnel	1
11018	shred	5
11019	shreveport	2
11020	shrewd	4
11021	shrill	1
11022	shrine	1
11023	shriner	1
11024	shrink	6
11025	shrunk	1
11026	shukla	2
11027	shuler	1
11028	shultz	3
11029	shun	2
11030	shusaki	3
11031	shut	27
11032	shutdown	1
11033	shutter	2
11034	shuttl	4
11035	sibl	8
11036	sicili	2
11037	sick	8
11038	side	153
11039	sidelin	11
11040	sidestep	4
11041	sideway	1
11042	sidl	7
11043	sidot	1
11044	sieg	9
11045	siemerink	1
11046	sierra	4
11047	siev	11
11048	siewert	24
11049	sifford	16
11050	sift	11
11051	sigh	3
11052	sight	25
11053	sightse	4
11054	sign	133
11055	signal	34
11056	signalman	1
11057	signatur	7
11058	signifi	1
11059	signific	41
11060	significantli	9
11061	sigonella	2
11062	sikh	1
11063	silberl	1
11064	silenc	19
11065	silent	19
11066	sill	1
11067	silli	1
11068	silliman	1
11069	silo	3
11070	silt	1
11071	silva	1
11072	silver	8
11073	silvertongu	2
11074	silvia	3
11075	silvija	2
11076	simeon	1
11077	simil	1
11078	similar	47
11079	similarli	5
11080	simmer	3
11081	simmon	3
11082	simpl	19
11083	simpler	1
11084	simpli	46
11085	simul	1
11086	simultan	8
11087	sin	3
11088	sinc	341
11089	sincer	5
11090	sindh	2
11091	sing	6
11092	singapor	3
11093	singaporean	1
11094	singer	7
11095	singh	4
11096	singl	50
11097	singledigit	1
11098	singlestori	1
11099	singular	1
11100	singularli	1
11101	sinha	1
11102	sink	32
11103	siobhan	1
11104	sion	1
11105	sip	6
11106	sir	5
11107	sirah	1
11108	siren	1
11109	siriman	1
11110	sister	45
11111	sisterinlaw	1
11112	sit	37
11113	site	80
11114	sitin	2
11115	situat	82
11116	six	149
11117	sixb	1
11118	sixbunk	1
11119	sixday	1
11120	sixfoot	2
11121	sixhour	2
11122	sixman	1
11123	sixmemb	1
11124	sixmonth	1
11125	sixseat	3
11126	sixstori	1
11127	sixteen	3
11128	sixth	32
11129	sixthseed	3
11130	sixti	1
11131	sixvehicl	1
11132	sixweek	5
11133	sixyear	3
11134	sixyearlong	1
11135	siyaram	1
11136	sizabl	2
11137	size	19
11138	sizzl	2
11139	skeptic	10
11140	sketch	11
11141	sketchi	14
11142	ski	2
11143	skiff	10
11144	skill	13
11145	skim	8
11146	skin	7
11147	skip	8
11148	skipper	5
11149	skirmish	1
11150	skirt	5
11151	skull	3
11152	sky	18
11153	skyscrap	4
11154	slab	15
11155	slade	7
11156	slain	10
11157	slam	58
11158	slant	2
11159	slap	3
11160	slash	4
11161	slat	1
11162	slate	6
11163	slater	2
11164	slaughterhous	1
11165	slava	1
11166	slavador	1
11167	slavica	1
11168	slavija	2
11169	slavish	1
11170	slavo	1
11171	slavoljub	1
11172	slay	12
11173	sledgehamm	3
11174	sleep	36
11175	sleepless	1
11176	sleight	1
11177	slender	1
11178	slenderest	1
11179	slept	8
11180	slice	10
11181	slid	2
11182	slide	3
11183	slight	6
11184	slightest	3
11185	slightli	27
11186	slim	10
11187	slime	1
11188	slip	30
11189	slippag	1
11190	sliver	2
11191	slm	2
11192	slobadon	1
11193	slobo	3
11194	slobodan	126
11195	slocomb	1
11196	slogan	12
11197	slope	2
11198	sloppi	5
11199	slouch	1
11200	slovakia	8
11201	slovakian	1
11202	slow	38
11203	slowdown	2
11204	slowest	2
11205	slowfoot	1
11206	slowli	26
11207	slowmov	1
11208	slug	1
11209	sluggish	4
11210	slump	6
11211	slur	1
11212	smack	4
11213	small	208
11214	smaller	25
11215	smallest	2
11216	smaltz	1
11217	smart	2
11218	smarter	2
11219	smartest	1
11220	smartli	1
11221	smash	25
11222	smear	3
11223	smederevska	2
11224	smell	7
11225	smile	36
11226	smit	1
11227	smith	21
11228	smithvil	1
11229	smitten	1
11230	smog	2
11231	smoggiest	1
11232	smoke	26
11233	smoker	1
11234	smokescreen	1
11235	smokey	1
11236	smolder	1
11237	smolinski	1
11238	smooth	9
11239	smoothli	2
11240	smother	2
11241	smuggl	3
11242	snack	2
11243	snake	1
11244	snap	9
11245	snapper	1
11246	snappi	1
11247	snare	1
11248	snarl	1
11249	snatch	8
11250	sneak	3
11251	sneaker	1
11252	sneakerclad	1
11253	sneet	1
11254	snif	3
11255	sniff	1
11256	sniffer	13
11257	snipe	1
11258	sniper	1
11259	snippet	2
11260	snitch	3
11261	snjezana	1
11262	snour	1
11263	snow	11
11264	snowcov	1
11265	snowfal	1
11266	snowstorm	2
11267	snyder	1
11268	soak	2
11269	soap	1
11270	soapoperat	1
11271	soar	7
11272	sob	3
11273	sober	2
11274	socal	10
11275	soccer	4
11276	social	33
11277	socialist	36
11278	societi	34
11279	sock	3
11280	socotra	2
11281	socti	1
11282	sod	1
11283	sofa	2
11284	soft	10
11285	soften	4
11286	softli	1
11287	softspoken	2
11288	softwar	7
11289	soglasiy	1
11290	soil	7
11291	sojourn	1
11292	solanki	1
11293	solari	1
11294	sold	19
11295	soldier	97
11296	sole	9
11297	solemn	4
11298	solemnli	1
11299	solicit	1
11300	solid	15
11301	solidar	6
11302	solidifi	2
11303	solidli	1
11304	solitari	2
11305	solitud	1
11306	solomon	1
11307	solorzano	2
11308	solut	14
11309	solv	6
11310	somali	2
11311	somalia	8
11312	somaliborn	1
11313	somber	6
11314	somberli	2
11315	somebodi	22
11316	someday	5
11317	somehow	16
11318	someon	49
11319	someplac	1
11320	someth	112
11321	sometim	50
11322	somewhat	9
11323	somewher	14
11324	somo	1
11325	son	114
11326	sonar	2
11327	song	3
11328	songwrit	3
11329	sonia	3
11330	soninlaw	3
11331	sonni	1
11332	soon	94
11333	sooner	5
11334	soontob	1
11335	sooooo	1
11336	soot	1
11337	sooti	1
11338	sop	1
11339	sophist	22
11340	sordid	1
11341	sore	8
11342	sorri	4
11343	sorrow	3
11344	sort	53
11345	sorti	1
11346	sosonati	7
11347	soto	3
11348	souc	1
11349	sought	50
11350	soul	4
11351	soumaila	1
11352	sound	56
11353	soundli	3
11354	soundproof	1
11355	soup	3
11356	soupstirr	1
11357	sour	2
11358	sourc	93
11359	south	123
11360	southcentr	1
11361	southeast	36
11362	southeastern	10
11363	southern	67
11364	southwest	19
11365	southwestern	6
11366	souvenir	2
11367	sovereign	2
11368	sovereignti	8
11369	soviet	29
11370	sovietera	5
11371	soxon	1
11372	sp	2
11373	space	19
11374	spaciou	1
11375	spain	20
11376	span	6
11377	spangl	1
11378	spaniard	2
11379	spaniel	1
11380	spanish	13
11381	spanishlanguag	3
11382	spanishspeak	6
11383	spare	9
11384	spark	18
11385	spasski	2
11386	spat	1
11387	spate	3
11388	speak	120
11389	speaker	19
11390	spear	1
11391	spearhead	3
11392	speci	1
11393	special	111
11394	specialist	21
11395	specif	55
11396	specifi	13
11397	spectacl	3
11398	spectacular	4
11399	spectat	7
11400	specter	3
11401	spectrum	1
11402	specul	44
11403	sped	4
11404	speech	62
11405	speed	31
11406	speedboat	1
11407	speedi	1
11408	speedskat	1
11409	spell	9
11410	spenc	3
11411	spencer	6
11412	spend	57
11413	spent	74
11414	sperl	2
11415	sphere	1
11416	spi	66
11417	spielberg	1
11418	spill	4
11419	spin	4
11420	spindoctor	1
11421	spine	2
11422	spiral	4
11423	spire	1
11424	spirit	18
11425	spiritu	3
11426	spite	5
11427	splash	1
11428	splashdown	1
11429	splatter	1
11430	splint	1
11431	splinter	3
11432	splinz	1
11433	split	23
11434	spode	1
11435	spoil	11
11436	spoiler	3
11437	spokan	1
11438	spoke	76
11439	spoken	21
11440	spokesman	184
11441	spokesmen	4
11442	spokeswoman	28
11443	sponsor	14
11444	sponsorship	2
11445	spontan	4
11446	spook	1
11447	sporad	1
11448	sport	59
11449	sportsmen	1
11450	spot	33
11451	spotlight	14
11452	spotti	6
11453	spous	7
11454	spragu	1
11455	spraig	1
11456	sprain	7
11457	sprawl	8
11458	spray	6
11459	spread	53
11460	spree	2
11461	spring	28
11462	springfield	3
11463	sprinkl	2
11464	sprint	5
11465	sprout	2
11466	spruanceclass	1
11467	sprung	2
11468	spun	1
11469	spur	5
11470	spy1d	1
11471	spymast	19
11472	squabbl	1
11473	squad	23
11474	squadron	1
11475	squall	3
11476	squander	2
11477	squar	22
11478	squat	1
11479	squatter	3
11480	squeak	2
11481	squeamish	1
11482	squeez	7
11483	squirrel	2
11484	squish	1
11485	sr	3
11486	srdic	4
11487	srebrenica	1
11488	srpska	1
11489	st	55
11490	stab	9
11491	stabenow	5
11492	stabil	43
11493	stabl	21
11494	stacey	1
11495	staci	1
11496	stack	8
11497	stadium	13
11498	staf	3
11499	staff	67
11500	staffer	2
11501	staffinr	1
11502	stafford	4
11503	stage	49
11504	stagger	9
11505	stain	3
11506	stainedglass	3
11507	stair	3
11508	stairwel	4
11509	stake	24
11510	stalem	6
11511	stalin	2
11512	stalinist	1
11513	stalk	2
11514	stall	4
11515	stambol	2
11516	stambuk	1
11517	stamenkov	2
11518	stamina	1
11519	stammer	1
11520	stamped	4
11521	stanc	5
11522	stand	124
11523	standard	18
11524	standbi	1
11525	standingroom	2
11526	standoff	10
11527	standpoint	1
11528	standstil	6
11529	stanley	4
11530	stapl	1
11531	star	32
11532	stare	7
11533	stark	5
11534	starkli	1
11535	starr	1
11536	starrr	1
11537	starstud	1
11538	start	160
11539	startelegram	1
11540	startl	2
11541	starv	1
11542	stash	1
11543	stasio	1
11544	stat	2
11545	state	570
11546	statebuild	1
11547	statecontrol	4
11548	statehous	4
11549	stateless	1
11550	statement	104
11551	stateofth	1
11552	stateoftheart	2
11553	stateown	4
11554	stateroom	1
11555	staterun	25
11556	statesman	2
11557	statesponsor	6
11558	statewid	5
11559	station	121
11560	stationeri	1
11561	statist	13
11562	statu	18
11563	statur	4
11564	statut	5
11565	staunch	2
11566	staunchest	2
11567	staunchli	2
11568	stay	148
11569	ste	1
11570	stead	1
11571	steadfast	1
11572	steadi	4
11573	steadili	4
11574	steal	27
11575	stealer	1
11576	stealth	1
11577	stealthi	1
11578	stealthier	1
11579	stealthili	1
11580	steam	6
11581	steami	1
11582	steel	28
11583	steelentangl	1
11584	steenbuch	1
11585	steep	15
11586	steer	8
11587	stefan	1
11588	stefano	5
11589	stefanov	4
11590	steffi	1
11591	steinberg	1
11592	steindorff	1
11593	stell	1
11594	stellar	1
11595	stem	15
11596	stemmo	1
11597	stenberg	1
11598	stench	2
11599	step	135
11600	stepdown	1
11601	stephani	1
11602	stephanopoulo	1
11603	stephen	7
11604	stepmoth	1
11605	steppingston	1
11606	stepson	1
11607	stereo	1
11608	sterl	3
11609	stern	13
11610	sternavich	1
11611	sternfac	1
11612	sternli	2
11613	steskic	1
11614	stevan	3
11615	steve	10
11616	stevedor	1
11617	steven	3
11618	stevenson	4
11619	stew	1
11620	stewardship	4
11621	stewart	2
11622	stick	18
11623	sticker	2
11624	sticki	1
11625	stickier	4
11626	stiff	3
11627	stifl	2
11628	stigmat	1
11629	still	370
11630	stillburi	1
11631	sting	1
11632	stipend	1
11633	stipul	4
11634	stir	14
11635	stirrup	1
11636	stitch	1
11637	stock	5
11638	stocki	1
11639	stockpil	5
11640	stoical	1
11641	stojanov	1
11642	stojiljikov	1
11643	stojiljkov	3
11644	stoke	4
11645	stoko	1
11646	stokov	1
11647	stole	25
11648	stolen	13
11649	stolt	1
11650	stomach	6
11651	stomachchurn	1
11652	stomp	1
11653	stone	18
11654	stonewal	1
11655	stoni	3
11656	stood	66
11657	stool	2
11658	stop	175
11659	stopgap	2
11660	stopov	4
11661	stoppag	6
11662	stopper	1
11663	storag	3
11664	store	67
11665	stori	79
11666	storm	46
11667	stormi	2
11668	storybook	1
11669	stosic	2
11670	stoutli	1
11671	stowag	1
11672	stoyan	1
11673	straddl	1
11674	straight	23
11675	straighten	1
11676	straightfac	1
11677	straightforward	4
11678	straightset	1
11679	strain	4
11680	strait	2
11681	straition	1
11682	strakov	1
11683	strand	3
11684	strang	9
11685	stranger	6
11686	strangl	1
11687	stranglehold	1
11688	strateg	18
11689	strategeri	1
11690	strategi	20
11691	strategist	7
11692	straw	1
11693	stray	2
11694	streak	16
11695	stream	14
11696	streamlin	1
11697	stree	1
11698	street	176
11699	strength	18
11700	strengthen	27
11701	strenuous	1
11702	stress	33
11703	stretch	30
11704	stretcher	13
11705	strewn	3
11706	stricken	11
11707	strickland	2
11708	strict	5
11709	stricter	1
11710	strictli	7
11711	strictur	1
11712	strident	1
11713	strife	2
11714	strike	85
11715	strikebound	5
11716	strikebreak	3
11717	striker	12
11718	string	14
11719	stringent	2
11720	stringfellow	5
11721	strip	24
11722	stripe	3
11723	strive	7
11724	strode	1
11725	stroke	10
11726	stroll	1
11727	strom	1
11728	strong	92
11729	stronger	17
11730	strongest	10
11731	stronghold	27
11732	strongli	15
11733	strongman	8
11734	strongmen	1
11735	strother	1
11736	strove	1
11737	struck	45
11738	structur	19
11739	struggl	72
11740	stuart	1
11741	stubb	1
11742	stubborn	1
11743	stubbornli	1
11744	stuck	9
11745	student	53
11746	studentrun	1
11747	studi	38
11748	studio	3
11749	stuf	1
11750	stuff	6
11751	stumbl	13
11752	stump	1
11753	stun	40
11754	stung	3
11755	stunningli	2
11756	stunt	2
11757	sturdi	1
11758	sturdier	1
11759	style	20
11760	stymi	1
11761	su	4
11762	suarez	3
11763	sub	21
11764	subcommitte	2
11765	subcontin	3
11766	subdu	7
11767	subgroup	1
11768	subject	39
11769	subjug	1
11770	submachin	2
11771	submarin	63
11772	submerg	5
11773	submers	3
11774	submit	25
11775	subordin	1
11776	subpoena	1
11777	subsaharan	3
11778	subscrib	1
11779	subsequ	9
11780	subsid	4
11781	subsidi	1
11782	subsidiari	3
11783	subsist	1
11784	substanc	6
11785	substandard	2
11786	substanti	17
11787	substitut	4
11788	subterranean	1
11789	subtext	2
11790	subtl	1
11791	suburb	26
11792	suburban	11
11793	subvers	3
11794	subvert	3
11795	subway	1
11796	succ	1
11797	succeed	32
11798	success	70
11799	successor	39
11800	succumb	2
11801	suchitepequez	5
11802	suck	1
11803	sudan	11
11804	sudanes	1
11805	sudden	20
11806	suddenli	17
11807	sue	7
11808	suez	18
11809	suffer	95
11810	suffici	16
11811	suffoc	4
11812	sugarcoat	1
11813	sugari	1
11814	suggest	94
11815	suharto	1
11816	suicid	129
11817	suit	36
11818	suitabl	5
11819	suitcas	5
11820	suitland	1
11821	sukiyaki	1
11822	sullivan	3
11823	sultan	6
11824	sultri	1
11825	sum	2
11826	summar	2
11827	summari	4
11828	summer	23
11829	summit	32
11830	summon	6
11831	sumner	1
11832	sun	22
11833	sunbak	1
11834	sunda	1
11835	sunday	201
11836	sunglass	2
11837	sunherald	1
11838	sunil	1
11839	sunk	7
11840	sunken	25
11841	sunni	4
11842	sunris	1
11843	sunset	4
11844	sunshin	1
11845	sunsplash	1
11846	super	3
11847	superb	2
11848	superbl	2
11849	superfast	1
11850	superintend	1
11851	superior	4
11852	supermarket	6
11853	superpow	2
11854	superstructur	1
11855	supervis	12
11856	supervisor	6
11857	supplement	1
11858	suppli	55
11859	support	271
11860	suppos	19
11861	supposedli	4
11862	supposingli	1
11863	suppress	12
11864	suprem	47
11865	supremaci	2
11866	supremacist	1
11867	surat	3
11868	sure	105
11869	surebet	1
11870	surf	2
11871	surfac	28
11872	surg	14
11873	surgeon	9
11874	surgeri	13
11875	surgic	3
11876	surnia	1
11877	surpass	5
11878	surplu	3
11879	surpris	52
11880	surprisingli	4
11881	surreal	4
11882	surrend	34
11883	surrog	5
11884	surround	61
11885	surveil	17
11886	survey	26
11887	surviv	100
11888	survivor	92
11889	susa	1
11890	susan	33
11891	susann	1
11892	suscept	2
11893	susi	3
11894	suspect	142
11895	suspend	25
11896	suspens	9
11897	suspici	13
11898	suspicion	36
11899	sustain	13
11900	susten	1
11901	sutyagin	1
11902	svilanov	3
11903	swab	1
11904	swagger	1
11905	swallow	4
11906	swami	3
11907	swamimarayan	1
11908	swamp	1
11909	swan	3
11910	swap	6
11911	swarm	16
11912	swat	7
11913	sway	17
11914	swear	6
11915	swearingin	5
11916	sweat	4
11917	sweater	3
11918	sweati	6
11919	sweatsoak	1
11920	swede	2
11921	sweden	5
11922	sweep	21
11923	sweet	3
11924	sweeten	1
11925	sweetheart	2
11926	swell	14
11927	swelter	1
11928	swenchoni	1
11929	swept	39
11930	swift	11
11931	swiftli	5
11932	swim	5
11933	swing	5
11934	swipe	1
11935	swirl	2
11936	swiss	16
11937	swissbas	1
11938	switch	20
11939	switzerland	25
11940	swivel	1
11941	swollen	2
11942	swoon	1
11943	swoop	1
11944	sword	1
11945	swore	3
11946	sworn	29
11947	swung	1
11948	sy	2
11949	sydney	10
11950	sylvest	1
11951	sylvia	1
11952	symbiones	4
11953	symbol	31
11954	symington	2
11955	symmetri	1
11956	sympath	2
11957	sympathet	8
11958	sympathi	8
11959	symphoni	1
11960	symptom	2
11961	sync	1
11962	syndic	1
11963	synonym	1
11964	syria	2
11965	syrian	6
11966	syrianborn	2
11967	syring	1
11968	system	82
11969	systemat	3
11970	tabara	3
11971	tabl	18
11972	tableau	2
11973	tableaux	1
11974	tablecloth	2
11975	tabloid	2
11976	tabul	5
11977	tacitli	1
11978	tackl	4
11979	tacoma	1
11980	tactic	15
11981	tactician	2
11982	tadic	2
11983	taffeta	1
11984	tag	1
11985	taha	3
11986	taigon	1
11987	tail	1
11988	tailor	11
11989	tailspin	2
11990	taint	10
11991	taiwan	9
11992	taiwanes	2
11993	taiz	1
11994	take	340
11995	taken	128
11996	takeoff	1
11997	takeov	15
11998	taker	1
11999	takla	1
12000	talaja	2
12001	tale	5
12002	talent	8
12003	talib	1
12004	taliban	15
12005	talk	156
12006	talker	1
12007	talkshow	1
12008	tall	8
12009	tallahasse	1
12010	taller	4
12011	talli	15
12012	tamarin	4
12013	tame	7
12014	tamil	1
12015	tamme	1
12016	tampa	4
12017	tamper	3
12018	tan	2
12019	tanang	1
12020	tanasugarin	1
12021	tanasugarn	3
12022	tandem	1
12023	tangl	11
12024	tanja	1
12025	tanjug	13
12026	tank	25
12027	tanker	2
12028	tankmount	1
12029	tant	1
12030	tantal	1
12031	tantamount	1
12032	tantrum	1
12033	tanugu	1
12034	tanzania	37
12035	tap	9
12036	tape	20
12037	tar	2
12038	tarawa	2
12039	tardi	1
12040	target	67
12041	tariff	2
12042	tariq	2
12043	tarmac	12
12044	tarnish	2
12045	tarp	3
12046	tarpaulin	3
12047	task	43
12048	tass	1
12049	tast	5
12050	tatter	4
12051	taunt	1
12052	tawdri	1
12053	tawfiq	1
12054	tax	40
12055	taxevas	1
12056	taxi	6
12057	taxpay	2
12058	taxsav	3
12059	taxwrit	1
12060	taylor	2
12061	tea	9
12062	teach	8
12063	teacher	16
12064	team	119
12065	teammat	2
12066	tear	72
12067	tearga	5
12068	tech	1
12069	technic	24
12070	technician	15
12071	techniqu	4
12072	technocrat	1
12073	technolog	42
12074	technologyrel	1
12075	techsourc	2
12076	tecla	11
12077	ted	3
12078	teddi	1
12079	teem	3
12080	teen	2
12081	teenag	18
12082	teepl	1
12083	teeter	2
12084	teeth	2
12085	tefb	1
12086	tegla	1
12087	tekla	2
12088	tel	4
12089	telar	1
12090	telecommun	2
12091	teleconfer	2
12092	telephon	72
12093	televis	170
12094	televisa	1
12095	televison	1
12096	tell	108
12097	teller	7
12098	tello	2
12099	tem	1
12100	temblor	13
12101	tempel	1
12102	temper	4
12103	temperatur	10
12104	tempestu	1
12105	templ	8
12106	templat	1
12107	tempo	1
12108	temporari	13
12109	temporarili	10
12110	ten	77
12111	tenabl	1
12112	tenac	1
12113	tenaci	1
12114	tenant	3
12115	tend	11
12116	tendenc	4
12117	tender	4
12118	tenet	2
12119	tenn	8
12120	tennesse	11
12121	tenni	39
12122	tens	18
12123	tension	25
12124	tent	39
12125	tentacl	1
12126	tentdwel	3
12127	tenth	3
12128	tenur	9
12129	tenyear	2
12130	ter	1
12131	term	111
12132	termend	1
12133	termer	1
12134	termin	15
12135	termlimit	1
12136	tern	1
12137	terr	1
12138	terrain	2
12139	terrel	1
12140	terrenc	12
12141	terri	6
12142	terribl	28
12143	terribly	1
12144	terrif	2
12145	terrifi	9
12146	terrifng	1
12147	terrifyingli	1
12148	territori	22
12149	terror	102
12150	terrorist	203
12151	test	42
12152	testament	2
12153	testifi	25
12154	testili	1
12155	testimoni	19
12156	testu	1
12157	testud	9
12158	tethani	1
12159	tether	2
12160	tex	1
12161	texa	95
12162	texaswyom	1
12163	text	6
12164	textbook	1
12165	textil	4
12166	tfor	1
12167	th	1
12168	thaan	1
12169	thabo	3
12170	thaci	1
12171	thadani	1
12172	thaerz	1
12173	thahn	1
12174	thailand	2
12175	thakkar	4
12176	thakur	1
12177	thanh	2
12178	thank	117
12179	thanksgiv	2
12180	thankyou	1
12181	thatcher	1
12182	thaul	1
12183	theater	5
12184	theaterintheround	2
12185	theeyear	1
12186	theft	2
12187	theme	7
12188	themselv	76
12189	thenagricultur	2
12190	thenmissouri	1
12191	thenpresid	1
12192	thenu	3
12193	theodor	2
12194	theolog	2
12195	theoret	3
12196	theori	29
12197	theoriz	4
12198	thepaid	1
12199	therapi	1
12200	thereaft	1
12201	therebi	2
12202	therefor	16
12203	therein	1
12204	therel	2
12205	therer	2
12206	theresa	1
12207	thermomet	2
12208	thescap	1
12209	thesi	1
12210	thevenot	2
12211	theyd	1
12212	theyll	13
12213	theyr	63
12214	theyv	34
12215	thi	626
12216	thick	15
12217	thicker	3
12218	thief	1
12219	thiessen	1
12220	thiev	6
12221	thigh	2
12222	thin	5
12223	thing	167
12224	thing99	1
12225	think	227
12226	thinker	1
12227	thinner	1
12228	third	124
12229	thirdhighest	1
12230	thirdlargest	5
12231	thirdli	1
12232	thirdparti	2
12233	thirdplac	1
12234	thirdround	1
12235	thirdseed	9
12236	thirdset	3
12237	thirdworld	1
12238	thirteen	3
12239	thirti	1
12240	thirtynin	6
12241	thirtysometh	1
12242	thirtythre	4
12243	thoma	18
12244	thompson	4
12245	thorbjoern	2
12246	thorbjorn	1
12247	thorn	1
12248	thornburgh	1
12249	thornel	1
12250	thorni	1
12251	thorough	3
12252	thoroughfar	3
12253	thoroughli	1
12254	though	135
12255	thought	106
12256	thousand	156
12257	thrash	1
12258	thread	4
12259	threadbar	1
12260	threat	104
12261	threatcon	1
12262	threaten	46
12263	three	312
12264	threeday	16
12265	threefifth	1
12266	threefourth	1
12267	threegam	1
12268	threehour	4
12269	threejudg	1
12270	threeperson	1
12271	threequart	2
12272	threeroom	3
12273	threeset	8
12274	threesett	2
12275	threestori	6
12276	threetim	2
12277	threeway	1
12278	threeyearold	1
12279	threshold	2
12280	threw	16
12281	thrill	5
12282	thriller	1
12283	thrive	6
12284	throat	2
12285	throne	2
12286	throng	6
12287	throughout	70
12288	throw	17
12289	throwback	2
12290	thrower	1
12291	thrown	24
12292	thrust	3
12293	thu	19
12294	thug	5
12295	thugocraci	2
12296	thumb	3
12297	thumbsup	3
12298	thunder	3
12299	thunderbird	1
12300	thurmond	1
12301	thursday	219
12302	thuzz	1
12303	thwart	5
12304	tia	2
12305	tiananmen	1
12306	tibet	2
12307	tick	3
12308	ticket	10
12309	tidal	2
12310	tide	7
12311	tie	97
12312	tiebreak	16
12313	tien	1
12314	tiffani	2
12315	tight	22
12316	tighten	11
12317	tighter	3
12318	tightest	2
12319	tightli	4
12320	tijan	3
12321	tilak	1
12322	tile	2
12323	till	5
12324	tilt	5
12325	tiltrotor	1
12326	tim	15
12327	time	477
12328	timelin	4
12329	timet	4
12330	timid	2
12331	timism	1
12332	timo	1
12333	timocka	1
12334	timothi	4
12335	tin	1
12336	tini	23
12337	tinker	1
12338	tinkl	1
12339	tiot	1
12340	tip	55
12341	tipper	2
12342	tipster	1
12343	tire	29
12344	tireless	1
12345	tirelessli	2
12346	tirm	2
12347	titl	50
12348	titleist	1
12349	titlist	2
12350	tito	6
12351	tl	1
12352	tnt	7
12353	toadi	1
12354	toast	3
12355	toastst	1
12356	tobacco	3
12357	tod	2
12358	today	316
12359	todd	21
12360	toddler	3
12361	toe	3
12362	togeth	101
12363	togo	1
12364	tohouri	1
12365	toi	1
12366	toietnam	1
12367	toilet	3
12368	token	2
12369	tokov	1
12370	tokyo	25
12371	told	277
12372	toledo	15
12373	toler	12
12374	tolkach	1
12375	toll	78
12376	tollfre	2
12377	tolli	1
12378	tolstoy	1
12379	tom	42
12380	tomahawk	6
12381	tomato	2
12382	tomb	1
12383	tomic	2
12384	tomislav	1
12385	tommi	9
12386	tomorrow	41
12387	tomorrow99	1
12388	ton	37
12389	tone	16
12390	tong	1
12391	tongu	7
12392	toni	34
12393	tonig	2
12394	tonight	104
12395	tonugu	1
12396	tooclosetocal	1
12397	took	216
12398	tool	21
12399	toopersist	1
12400	toothless	1
12401	top	167
