t_index	term	df
764	andean	6
765	anderson	4
766	andi	5
767	andjelkov	1
768	andoslavia	1
769	andr	48
770	andrea	14
771	andrei	2
772	andrew	15
773	andrik	1
774	anew	7
775	angel	13
776	anger	46
777	angl	12
778	anglican	1
779	angri	27
780	angrili	4
781	anguish	8
782	ani	312
783	anim	2
784	animist	2
785	animos	11
786	anjana	1
787	anjar	6
788	anjay	1
789	ank	2
790	ankl	8
791	ankledeep	1
792	ann	11
793	anna	21
794	annabel	1
795	annacon	1
796	annan	13
797	anniversari	15
798	announc	164
799	annoy	2
800	annual	18
801	annul	11
802	anomali	1
803	anonym	63
804	anoth	263
805	answer	48
806	antagon	1
807	antasiaovich	1
808	antenna	2
809	anthem	6
810	anthoni	27
811	anthropologist	2
812	anti	1
813	antiaircraft	2
814	antiamerican	16
815	antiballist	2
816	antibiot	5
817	antibush	1
818	anticastro	1
819	anticip	17
820	anticlimact	1
821	anticommunist	2
822	anticorrupt	2
823	antidiarrhea	1
824	antifbi	2
825	antiislam	3
826	antiisrael	2
827	antimilitari	1
828	antimilosev	20
829	antimissil	1
830	antinorthern	1
831	antiradar	1
832	antiship	2
833	antisoviet	1
834	antisubmarin	1
835	antiterror	6
836	antiterrorist	8
837	antiu	9
838	antiwar	8
839	antiwestern	5
840	antonia	6
841	antonin	1
842	antonio	26
843	anwar	4
844	anxieti	3
845	anxiou	11
846	anxious	2
847	anybodi	14
848	anymor	9
849	anyon	58
850	anyth	94
851	anytim	4
852	anyway	13
853	anywher	18
854	aok	1
855	aon	1
856	ap	20
857	apart	68
858	ape	1
859	apec	4
860	apex	1
861	apolit	1
862	apolog	18
863	appal	1
864	appallingli	1
865	appar	193
866	apparatu	7
867	appeal	95
868	appear	196
869	appel	1
870	appetit	2
871	appl	3
872	applaud	10
873	applaus	8
874	applepick	1
875	appleton	2
876	appli	18
877	applic	16
878	appoint	65
879	appointe	3
880	apprais	2
881	appreci	16
882	apprehend	4
883	apprehens	2
884	apprentic	3
885	appris	1
886	approach	49
887	appropri	18
888	approv	25
889	approxim	12
890	april	67
891	aprista	4
892	apron	1
893	aquil	2
894	ar15	1
895	arab	61
896	arabamerican	2
897	arabi	1
898	arabia	71
899	arabian	44
900	arabianborn	1
901	arablanguag	3
902	arablook	1
903	arabspeak	1
904	arafat	16
905	arantxa	3
906	arazi	7
907	arbadi	1
908	arbit	1
909	arbitrari	2
910	arbitrarili	1
911	arc	1
912	arch	2
913	archaeolog	2
914	archbishop	4
915	archer	1
916	archeri	4
917	archetyp	1
918	archi	3
919	archibald	1
920	architect	7
921	architectur	4
922	arctic	6
923	ardent	4
924	arduou	1
925	area	184
926	arena	22
927	arent	16
928	argentin	1
929	argentina	10
930	argu	45
931	arguabl	2
932	argument	18
933	ari	1
934	arid	5
935	arif	1
936	arisen	1
937	arithmet	1
938	aritomi	4
939	ariz	6
940	arizona	7
941	ark	8
942	arkadelphia	1
943	arkan	1
944	arkansa	28
945	arkansasbas	1
946	arkin	2
947	arleigh	2
948	arleighburkeclass	1
949	arlen	2
950	arlington	8
951	arm	132
952	armament	2
953	armbrist	1
954	armenia	2
955	armey	1
956	armi	136
957	armitag	1
958	armor	17
959	armori	3
960	arn	3
961	arnaud	17
962	arni	1
963	arno	1
964	arnold	3
965	arnot	1
966	aros	5
967	around	190
968	arous	1
969	arraign	2
970	arrang	38
971	array	5
972	arrear	1
973	arrest	109
974	arriv	180
975	arrog	3
976	arrow	4
977	arsen	10
978	arseni	1
979	arsonist	1
980	art	9
981	arthriti	1
982	arthur	4
983	articl	5
984	articul	1
985	artifact	1
986	artifici	4
987	artist	4
988	artudo	1
989	arturo	6
990	aruba	2
991	aryapov	1
992	asa	1
993	asahi	1
994	ascend	1
995	ascrib	4
996	asean	1
997	ash	4
998	asham	1
999	ashcroft	56
1000	ashkroft	1
1001	ashok	1
1002	ashor	2
1003	ashraf	1
1004	ashshaab	1
1005	ashtray	1
1006	asia	22
1007	asian	15
1008	asiapacif	16
1009	asid	30
1010	ask	196
1011	aspect	11
1012	aspir	2
1013	assad	1
1014	assail	4
1015	assam	6
1016	assassin	21
1017	assault	28
1018	assembl	18
1019	assemblyforexport	1
1020	assert	17
1021	assess	48
1022	asset	10
1023	assign	24
1024	assist	76
1025	assistedsuicid	1
